Control Number,File Name,File Extension,File Type Category,File Size (bytes),MD5 Hash,SHA256 Hash,Custodian,Custodian Email,Custodian Department,Custodian Org,Narrative Phase,Narrative Phase Name,Processing Folder Path,Virtual Path,Container ID,Container Name,Level,Primary Date,Sort Date,Language,Has Images,Has Natives,OCR Flag,Supported by Viewer,Extracted Text Preview,Images?,OCR Required?,Native Produced?,Redactable?,Analytics Eligible?,Dedup Method,Workflow Stage,Cull Reason,Processing Status,Processing Error Type,Duplicate Spare,ECA Exclusion Reason,Batch Name,Batch Status,Reviewer,Date First Assigned,Responsiveness,Privilege,Privilege Reason,Hot Doc,Issue Tags,Bates Begin,Bates End,Page Count,Production Set,Bates Prefix,Redacted,Redaction Reason,TAR Score,AL Predicted Relevant,Email From,Email From SMTP,Email To,Email To SMTP,Email CC,Email CC SMTP,Email BCC,Email BCC SMTP,Email Subject,Message ID,In Reply To,Date Sent,Date Received,Conversation Topic,Conversation Index,Has Attachments,Attachment Count,Email Thread ID,Email Threading Inclusive,Importance,Parent Document ID,Family ID,Author,Last Modified By,Date Created,Date Last Modified,Title,Company,Word Count,Slide Count,Sheet Names,PDF Author,PDF Creator,PDF Producer,PDF Page Count,Is Encrypted,Is Form,Rsmf/Application,Rsmf/Participants,Rsmf/MessageCount,Rsmf/BeginDate,Rsmf/EndDate,Rsmf/EventCollectionId,Rsmf/HasPlaceholders,Camera Make,Camera Model,Date Taken,GPS Latitude,GPS Longitude,GPS Altitude,GoogleDrive/DocID,GoogleDrive/DocumentType,GoogleDrive/SharedDriveID,Record Type
DOC-0000680,FW: DEA Administrative Subpoena — Produc.eml,eml,Email - EML,59889,6584387553c70de6b21d856b426664cf,8cfca54b8ac31e08ef3e9770390ae185128dfb8215ab1a4738a6484c634c842f,James Whitfield,james.whitfield@mallinckrodt.com,Executive,Mallinckrodt,3,Crisis,\\Collection\James_Whitfield\2016\09,Mallinckrodt\James_Whitfield\Email - EML\DOC-0000680.eml,,,1,2016-09-01 00:00:00,2016-09-01 00:00:00,English,Yes,Yes,No,Yes,[Email - EML] FW: DEA Administrative Subpoena — Production Deadline January 2015 — James Whitfield 2016-09-01,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,5,,MNK,No,,,,James Whitfield,james.whitfield@mallinckrodt.com,Patricia Morrison,patricia.morrison@mallinckrodt.com,,,,,RE: DEA Response Preparation — SOM Documentation,<0c4d862e5ef8fa9b.e2908a40@mallinckrodt.com>,<75be1ba70ae4e096.690e1a7e@mallinckrodt.com>,2016-09-01 00:00:00,2016-09-01 00:23:00,FW: DEA Administrative Subpoena — Production Deadline January 2015,2efe4238e3e7589e4bef82f1346773fb,Yes,2,THR-000098,No,High,DOC-0000473,FAM-000274,,,2016-09-01,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000963,DOC-0000963.docx,docx,Office - Word (DOCX),724627,ae12f4b6f390ca5d4bfecfa600379b0c,af27966d18c56a57c77569006a8543a775031dcfce379bbb125594f01c467349,Patricia Morrison,patricia.morrison@mallinckrodt.com,Marketing,Mallinckrodt,2,Pressure,\\Collection\Patricia_Morrison\2014\11,Mallinckrodt\Patricia_Morrison\Office - Word (DOCX)\DOC-0000963.docx,,,1,2014-11-03 00:00:00,2014-11-03 00:00:00,English,No,Yes,No,Yes,[Office - Word (DOCX)] Sales Incentive Acceleration Plan — 2013 — Patricia Morrison 2014-11-03,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,Domain Excluded - Personal,,,,,,,,No,,,,7,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,Patricia Morrison,Patricia Morrison,2014-11-03,2014-11-12,Sales Incentive Acceleration Plan — 2013,Mallinckrodt Inc.,1626,,,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
DOC-0001238,DOC-0001238.pdf,pdf,PDF - Text,921881,ec899be44de07f104f3e216669d153e1,a0c15094922e590ae2f621b78ec03751c4cfaa8bc607560f72808d5cc1657c6e,Thomas Bradley,thomas.bradley@mallinckrodt.com,Legal & Compliance,Mallinckrodt,3,Crisis,\\Collection\Thomas_Bradley\2015\01,Mallinckrodt\Thomas_Bradley\PDF - Text\DOC-0001238.pdf,,,1,2014-05-31 00:00:00,2014-05-31 00:00:00,English,Yes,Yes,No,Yes,[PDF - Text]  — Thomas Bradley 2015-01-24,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,File Type Excluded,,,,,,,,No,,,,5,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000520,FAM-000269,,,2015-01-24,,,Mallinckrodt Inc.,,,,Thomas Bradley,Nuance PDF,Adobe PDF Library,5,No,No,,,0,,,,No,,,,,,,,,,Attachment
DOC-0000260,RE: Employee Disclosure — Cooperation wi.msg,msg,Email - MSG,97330,c4eb8e5d6a6e94cff83a1bce70696977,4968fdf25760c0947942000acf242413d5b654383ecd088801afb939c4df5b8d,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2015\07,Mallinckrodt\Michael_Brennan\Email - MSG\DOC-0000260.msg,,,1,2015-07-30 00:00:00,2015-07-30 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Employee Disclosure — Cooperation with Investigators — Michael Brennan 2015-07-30,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Opposing Counsel,,,,,,,,No,,,,1,,MNK,No,,,,Michael Brennan,michael.brennan@mallinckrodt.com,Thomas Bradley,thomas.bradley@mallinckrodt.com,,,,,RE: State AG Investigation — Southwest — Document Preservation,<2bd7d03881492b7a.15d1e2f8@mallinckrodt.com>,<b89bdf7f93e34c35.500e15c0@mallinckrodt.com>,2015-07-30 00:00:00,2015-07-30 00:27:00,RE: Employee Disclosure — Cooperation with Investigators,c13d8929b717548d5f57fd27441999b6,No,0,THR-000007,No,High,DOC-0000063,FAM-000183,,,2015-07-30,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000838,DOC-0000838.docx,docx,Office - Word (DOCX),625873,a6928bbf25aae4ba453013c6403fe009,170bc3e2f82dac3a3bb77859cd2a915b0b56ec02db4b04d1cf09ba78df35afc6,Gregory Nash,gregory.nash@mallinckrodt.com,Legal & Compliance,Mallinckrodt,3,Crisis,\\Collection\Gregory_Nash\2016\10,Mallinckrodt\Gregory_Nash\Office - Word (DOCX)\DOC-0000838.docx,DOC-0000806,DOC-0000806.pst,1,2016-10-21 00:00:00,2016-10-21 00:00:00,English,No,Yes,No,Yes,[Office - Word (DOCX)] Crisis Communications Talking Points — Opioid Litigation — Gregory Nash 2016-10-16,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,File Type Excluded,,,,,,,,No,,,,20,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000796,FAM-000298,Gregory Nash,Gregory Nash,2016-10-16,2016-10-27,Crisis Communications Talking Points — Opioid Litigation,Mallinckrodt Inc.,7665,,,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
DOC-0000422,RE: SOM Records Preservation — March 201.msg,msg,Email - MSG,112367,f9d46d34ca4e5cc5995d455b76628c4e,53199080b58194e004a06d55398e1dc038a8ab5518deabfe5172e4f0a285f766,Thomas Bradley,thomas.bradley@mallinckrodt.com,Legal & Compliance,Mallinckrodt,3,Crisis,\\Collection\Thomas_Bradley\2016\03,Mallinckrodt\Thomas_Bradley\Email - MSG\DOC-0000422.msg,,,1,2016-03-23 00:00:00,2016-03-23 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: SOM Records Preservation — March 2013 — Legal Hold Reminder — Thomas Bradley 2016-03-23,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Opposing Counsel,,,,,,,,No,,,,2,,MNK,No,,,,Thomas Bradley,thomas.bradley@mallinckrodt.com,James Whitfield,james.whitfield@mallinckrodt.com,,,,,RE: SOM Records Preservation — March 2013 — Legal Hold Reminder,<10501d6538973d15.9c83cfae@mallinckrodt.com>,,2016-03-23 00:00:00,2016-03-23 00:26:00,RE: SOM Records Preservation — March 2013 — Legal Hold Reminder,9bfc24bdb647d58dba68f42949af5000,Yes,4,,Yes,Low,,FAM-000081,,,2016-03-23,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000198,RE: Crisis Communications Plan — Opioid .msg,msg,Email - MSG,219463,20a77d78d8feb8de67797b5882ab23a0,0d99c071f7c8435f8c83bc68e6ace59a5e85643c0ffa23664b4fafafda3dc780,Patricia Morrison,patricia.morrison@mallinckrodt.com,Marketing,Mallinckrodt,3,Crisis,\\Collection\Patricia_Morrison\2016\04,Mallinckrodt\Patricia_Morrison\Email - MSG\DOC-0000198.msg,,,1,2016-04-08 00:00:00,2016-04-08 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Crisis Communications Plan — Opioid Media Inquiries — Patricia Morrison 2016-04-08,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Personal,,,,,,,,No,,,,1,,MNK,No,,,,Patricia Morrison,patricia.morrison@mallinckrodt.com,Bradley Tevelow,bradley.tevelow@mckinsey.com,,,,,RE: Crisis Communications Plan — Opioid Media Inquiries,<b40f040e0037447f.8f5e248e@mallinckrodt.com>,,2016-04-08 00:00:00,2016-04-08 00:03:00,RE: Crisis Communications Plan — Opioid Media Inquiries,1c1530575bf774cffa8bd601d21ce315,No,0,,Yes,Normal,,FAM-000010,,,2016-04-08,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000284,RE: Ohio AG Subpoena — Opioid Sales Prac.msg,msg,Email - MSG,85427,cdf401375e15433b68b1211a6eb8b0e2,3bd9b01571127f4b2df805020653ee8561e30fb445e49a9e512840267f5efb6b,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2015\09,Mallinckrodt\Michael_Brennan\Email - MSG\DOC-0000284.msg,,,1,2015-09-18 00:00:00,2015-09-18 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination — Michael Brennan 2015-09-18,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Personal,,,,,,,,No,,,,4,,MNK,No,,,,Michael Brennan,michael.brennan@mallinckrodt.com,Patricia Morrison,patricia.morrison@mallinckrodt.com,,,,,RE: Internal Investigation Update — SOM Override Findings,<a535f9d743fffdea.136d6cce@mallinckrodt.com>,<a60c13290c941263.61ecff07@mallinckrodt.com>,2015-09-18 00:00:00,2015-09-18 00:20:00,RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination,4b6585171519613ce6c71f155bed83be,No,0,THR-000089,No,Low,DOC-0000361,FAM-000265,,,2015-09-18,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000077,FW: Compliance Escalation — Northwest Or.msg,msg,Email - MSG,289969,69a53b4f8ff8869d0ec0713dea2c7a51,414765063e2bf9c9636f6e5c2253e70687ad8b268eaa58416aa0426df7c0d5f7,Gregory Nash,gregory.nash@mallinckrodt.com,Legal & Compliance,Mallinckrodt,2,Pressure,\\Collection\Gregory_Nash\2013\12,Mallinckrodt\Gregory_Nash\Email - MSG\DOC-0000077.msg,,,1,2013-12-19 00:00:00,2013-12-19 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: Compliance Escalation — Northwest Order Patterns — Gregory Nash 2013-12-19,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Opposing Counsel,,,,,,,,No,,,,2,,MNK,No,,,,Gregory Nash,gregory.nash@mallinckrodt.com,FDA CDER,cder@fda.hhs.gov,,,,,RE: District Manager Coaching — Volume Acceleration — Gulf Coast,<548c1d84340de049.a58e83dd@mallinckrodt.com>,<ebb48c9ebd1e9dd8.5ade80d4@mallinckrodt.com>,2013-12-19 00:00:00,2013-12-19 00:10:00,FW: Compliance Escalation — Northwest Order Patterns,d8ddbbc073253aa3ec170298143df5b3,No,0,THR-000136,No,Normal,DOC-0000390,FAM-000312,,,2013-12-19,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000654,RE: Ohio AG Subpoena — Opioid Sales Prac.eml,eml,Email - EML,141947,75a8457d74f894e270a1e5ddd403653e,39681e1d898a77529c7164a818906db495a5de44e731207b65dbb4045b199207,Sarah Chen,sarah.chen@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Sarah_Chen\2015\02,Mallinckrodt\Sarah_Chen\Email - EML\DOC-0000654.eml,,,1,2015-02-12 00:00:00,2015-02-12 00:00:00,English,Yes,Yes,No,Yes,[Email - EML] RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination — Sarah Chen 2015-02-12,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Opposing Counsel,,,,,,,,No,,,,5,,MNK,No,,,,Sarah Chen,sarah.chen@mallinckrodt.com,FDA CDER,cder@fda.hhs.gov,,,,,RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination,<c4956e6a21cc0211.122f862e@mallinckrodt.com>,,2015-02-12 00:00:00,2015-02-12 00:12:00,RE: Ohio AG Subpoena — Opioid Sales Practices — Response Coordination,29723882a6d9d3d105ddf023af0caa3c,Yes,1,THR-000088,No,High,,FAM-000264,,,2015-02-12,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001427,DOC-0001427.vsdx,vsdx,Office - Visio,554863,b479d8983e53042904ca56c4cd193f76,ad714fa317b9d89eb71b7fc75f4a0227f3ab76168c11798c4c3f42f36ae0151c,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2016\02,Mallinckrodt\Michael_Brennan\Office - Visio\DOC-0001427.vsdx,,,1,2016-06-27 00:00:00,2016-06-27 00:00:00,English,Yes,Yes,No,Yes,[Office - Visio] Legal Hold Custodian Inventory — October 2016 — Michael Brennan 2016-02-17,Yes,No,Yes,Image Only,No,SHA256,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,5,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000010,FAM-000316,Michael Brennan,Michael Brennan,2016-02-17,2016-02-18,Legal Hold Custodian Inventory — October 2016,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
DOC-0001165,DOC-0001165.ppt,ppt,Office - PowerPoint (PPT),5415392,57994d7754c0d4f427033a33f890be80,ca2cdf25b9f851169a8792d1856ddbda6919732fe88288ee4a549fd05676dc02,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,2,Pressure,\\Collection\Michael_Brennan\2014\04,Mallinckrodt\Michael_Brennan\Office - PowerPoint (PPT)\DOC-0001165.ppt,,,1,2014-04-19 00:00:00,2014-04-19 00:00:00,English,Yes,Yes,No,Yes,[Office - PowerPoint (PPT)] DEA Compliance Response Preparation — 2014 — Michael Brennan 2014-04-19,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,24,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,Michael Brennan,Michael Brennan,2014-04-19,2014-05-11,DEA Compliance Response Preparation — 2014,Mallinckrodt Inc.,,19,,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
DOC-0000158,RE: Speaker Bureau — Internal Compliance.msg,msg,Email - MSG,119682,f53f091e8a9e0964db6a34eac3a58237,e5eb45497e0a04c250bf29959ee4105d5f06bc767b777e71d91738f80ad1c18c,Dr. Alec Harrington,alec.harrington@insysrx.com,Sales,Insys,3,Crisis,\\Collection\Dr._Alec_Harrington\2015\07,Insys\Dr._Alec_Harrington\Email - MSG\DOC-0000158.msg,,,1,2015-07-14 00:00:00,2015-07-14 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Speaker Bureau — Internal Compliance Review — April 2014 — Dr. Alec Harrington 2015-07-14,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,No Keyword Hits,,,,,,,,No,,,,4,,INSYS,No,,,,Dr. Alec Harrington,alec.harrington@insysrx.com,Sarah Chen,sarah.chen@mallinckrodt.com,,,,,RE: SOM Records Preservation — September 2015 — Legal Hold Reminder,<e1886146fc40a3d4.e5a1c6e4@mallinckrodt.com>,<46f7b20ac3c49506.7e388a19@mallinckrodt.com>,2015-07-14 00:00:00,2015-07-14 00:04:00,RE: Speaker Bureau — Internal Compliance Review — April 2014,7da56b6e4654e77dde67a2789313b3a7,No,0,THR-000142,No,Normal,DOC-0000225,FAM-000318,,,2015-07-14,,,Insys Therapeutics,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001287,DOC-0001287.rsmf,rsmf,Chat - Teams (RSMF),732780,12c09c2f2abb4375420ce05bee9ae203,1aba0afcebe09d13328473c2c134618f92e519927fe8730e3f2a9c499f66f6b7,Sarah Chen,sarah.chen@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Sarah_Chen\2015\04,Mallinckrodt\Sarah_Chen\Chat - Teams (RSMF)\DOC-0001287.rsmf,,,1,2015-04-08 00:00:00,2015-04-08 00:00:00,English,No,Yes,No,Yes,[Chat - Teams (RSMF)]  — Sarah Chen 2015-04-08,Yes,No,No,Image Only,Yes,EventCollectionId,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,5,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,,,2015-04-08,,,Mallinckrodt Inc.,,,,,,,,No,,Teams,Sarah Chen; Patricia Morrison; Bradley Tevelow; Dr. Alec Harrington,99,2015-04-08 00:00:00,2015-04-09 12:00:00,a01bc630ce7628f9,No,,,,,,,,,,EDoc
DOC-0001214,DOC-0001214.pdf,pdf,PDF - Text,314984,ab2bc291d3452c2cc20b04e3670af69a,d440759a004c4600b79f9bc5c4bec5ca1bc13d5ef99f975f22336d1487944b4c,James Whitfield,james.whitfield@mallinckrodt.com,Executive,Mallinckrodt,3,Crisis,\\Collection\James_Whitfield\2016\01,Mallinckrodt\James_Whitfield\PDF - Text\DOC-0001214.pdf,,,1,2015-12-06 00:00:00,2015-12-06 00:00:00,English,Yes,Yes,No,Yes,[PDF - Text]  — James Whitfield 2016-01-05,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,File Type Excluded,,,,,,,,No,,,,10,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000135,FAM-000242,,,2016-01-05,,,Mallinckrodt Inc.,,,,James Whitfield,Microsoft Word,Adobe PDF Library,10,No,No,,,0,,,,No,,,,,,,,,,Attachment
DOC-0000137,FW: Whistleblower Complaint — IRC Script.msg,msg,Email - MSG,87446,b5d9ad365287964da30a6658b1be6df2,f1530f689215583a9532caba7af985ff8ff198865a2c41bcc2c226ff1d8b32d9,Dr. Alec Harrington,alec.harrington@insysrx.com,Sales,Insys,3,Crisis,\\Collection\Dr._Alec_Harrington\2016\04,Insys\Dr._Alec_Harrington\Email - MSG\DOC-0000137.msg,,,1,2016-04-08 00:00:00,2016-04-08 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] FW: Whistleblower Complaint — IRC Script Practices — Dr. Alec Harrington 2016-04-08,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,2,,INSYS,No,,,,Dr. Alec Harrington,alec.harrington@insysrx.com,DEA Diversion Control,diversion@dea.gov,,,,,RE: DEA Administrative Subpoena — Production Deadline September 2013,<b5caa993aacad101.6adfd568@mallinckrodt.com>,<192bb3bce8438f65.6223733d@mallinckrodt.com>,2016-04-08 00:00:00,2016-04-08 00:23:00,FW: Whistleblower Complaint — IRC Script Practices,d7654a18e4d466ebbf74531cac9b389a,No,0,THR-000066,No,Low,DOC-0000425,FAM-000242,,,2016-04-08,,,Insys Therapeutics,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000381,RE: Mallinckrodt — Follow-On Engagement .msg,msg,Email - MSG,79160,3e84455fa7553468de74e1224aed4cc8,1ab8873380e1cc418a9a727fb2a12a5551a0bd7c447d30b8e49a3cd986df42bd,Bradley Tevelow,bradley.tevelow@mckinsey.com,Healthcare Practice,McKinsey,2,Pressure,\\Collection\Bradley_Tevelow\2014\02,McKinsey\Bradley_Tevelow\Email - MSG\DOC-0000381.msg,,,1,2014-02-12 00:00:00,2014-02-12 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: Mallinckrodt — Follow-On Engagement — Sales Operations — Bradley Tevelow 2014-02-12,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,3,,MCK,No,,,,Bradley Tevelow,bradley.tevelow@mckinsey.com,Robert Ashton,robert.ashton@mallinckrodt.com,,,,,RE: Crisis Communications Plan — Opioid Media Inquiries,<58bd19da0dd2c843.e6824710@mallinckrodt.com>,<842c49fa806a29ad.fe05fcef@mallinckrodt.com>,2014-02-12 00:00:00,2014-02-12 00:23:00,RE: Mallinckrodt — Follow-On Engagement — Sales Operations,9f32fd3ef358206db49bc1ef692c6843,No,0,THR-000143,No,High,DOC-0000340,FAM-000319,,,2014-02-12,,,McKinsey & Company,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001107,DOC-0001107.xls,xls,Office - Excel (XLS),1220556,9b8871526fb56ab0a0b6ef8eb0b60d86,9c077c09a02c4af1e9be5b38511e0267307445de81b9e7dd6c6e77173d1dcaab,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,2,Pressure,\\Collection\Michael_Brennan\2013\03,Mallinckrodt\Michael_Brennan\Office - Excel (XLS)\DOC-0001107.xls,,,1,2013-03-25 00:00:00,2013-03-25 00:00:00,English,No,Yes,No,Yes,[Office - Excel (XLS)] SOM Override Business Justification Memo — Southwest — Michael Brennan 2013-03-25,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,Date Out of Range,,,,,,,,No,,,,1,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,Michael Brennan,Michael Brennan,2013-03-25,2013-04-12,SOM Override Business Justification Memo — Southwest,Mallinckrodt Inc.,,,Sheet1; Sheet2,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
DOC-0000772,RE: SOM Records Preservation — September.eml,eml,Email - EML,54040,91d9ee264997dd2016520d404605dd14,b3c120c39b0108d203711d3fc9be5dce02ee09bf9811cd8b2ccd00e792ca30b9,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Michael_Brennan\2016\11,Mallinckrodt\Michael_Brennan\Email - EML\DOC-0000772.eml,,,1,2016-11-10 00:00:00,2016-11-10 00:00:00,English,Yes,Yes,No,Yes,[Email - EML] RE: SOM Records Preservation — September 2016 — Legal Hold Reminder — Michael Brennan 2016-11-10,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,Domain Excluded - Opposing Counsel,,,,,,,,No,,,,2,,MNK,No,,,,Michael Brennan,michael.brennan@mallinckrodt.com,Thomas Bradley,thomas.bradley@mallinckrodt.com,,,,,RE: SOM Records Preservation — September 2016 — Legal Hold Reminder,<6ae1a31fa7b63925.64f8a4b1@mallinckrodt.com>,,2016-11-10 00:00:00,2016-11-10 00:03:00,RE: SOM Records Preservation — September 2016 — Legal Hold Reminder,71819d9db19158b4d4db90512b94e8fa,Yes,1,THR-000011,No,Normal,,FAM-000187,,,2016-11-10,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0000536,RE: SOM Flag — Express Scripts — Busines.msg,msg,Email - MSG,48257,67079421cfd2be23c69ee73d832df0cc,961b53afc601b22f7bc19e2fa3327e999efec6c530ad41bb2ae2c9d1365d395b,Gregory Nash,gregory.nash@mallinckrodt.com,Legal & Compliance,Mallinckrodt,2,Pressure,\\Collection\Gregory_Nash\2013\01,Mallinckrodt\Gregory_Nash\Email - MSG\DOC-0000536.msg,,,1,2013-01-19 00:00:00,2013-01-19 00:00:00,English,Yes,Yes,No,Yes,[Email - MSG] RE: SOM Flag — Express Scripts — Business Justification Required — Gregory Nash 2013-01-19,Yes,No,Yes,Image Only,Yes,MD5,ECA: Excluded,,Complete,,No,System File,,,,,,,,No,,,,4,,MNK,No,,,,Gregory Nash,gregory.nash@mallinckrodt.com,James Whitfield,james.whitfield@mallinckrodt.com,,,,,RE: CONFIDENTIAL — Response to Cardinal Health Fraud Investigation Inquiry,<b285d65bbf6b8493.1120653d@mallinckrodt.com>,<fe3f566204680a4a.7f3dadbd@mallinckrodt.com>,2013-01-19 00:00:00,2013-01-19 00:28:00,RE: SOM Flag — Express Scripts — Business Justification Required,3a0c5dc9bea17713fe36b4bff9e421bc,Yes,4,THR-000156,No,Low,DOC-0000400,FAM-000332,,,2013-01-19,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,Email
DOC-0001380,DOC-0001380.log,log,Text / Markup,304399,59c55fcc2d6cf42e1fcb4adcc0711be0,0fc3d695333cd4359c940c89148b825dd7a478e1093d9f33c5e4b8e3250432f4,Michael Brennan,michael.brennan@mallinckrodt.com,Sales,Mallinckrodt,2,Pressure,\\Collection\Michael_Brennan\2014\01,Mallinckrodt\Michael_Brennan\Text / Markup\DOC-0001380.log,,,1,2014-01-31 00:00:00,2014-01-31 00:00:00,English,No,Yes,No,Yes,[Text / Markup]  — Michael Brennan 2014-01-31,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,No Keyword Hits,,,,,,,,No,,,,4,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,,,,,2014-01-31,,,Mallinckrodt Inc.,,,,,,,,No,,,,0,,,,No,,,,,,,,,,EDoc
DOC-0001004,DOC-0001004.doc,doc,Office - Word (DOC),145492,ef57f0bb15002f8daf3731504e898769,f8c143756b5a967205dd49911a5cd165cdbeb893bbd68d8cead82bb69e3d59f0,Sarah Chen,sarah.chen@mallinckrodt.com,Sales,Mallinckrodt,3,Crisis,\\Collection\Sarah_Chen\2015\11,Mallinckrodt\Sarah_Chen\Office - Word (DOC)\DOC-0001004.doc,,,1,2014-09-20 00:00:00,2014-09-20 00:00:00,English,No,Yes,No,Yes,[Office - Word (DOC)] Congressional Hearing Preparation — Duexis Sales — Sarah Chen 2015-11-30,Yes,No,Yes,Image Only,Yes,SHA256,ECA: Excluded,,Complete,,No,Date Out of Range,,,,,,,,No,,,,14,,MNK,No,,,,,,,,,,,,,,,,,,,No,0,,,,DOC-0000160,FAM-000291,Sarah Chen,Sarah Chen,2015-11-30,2015-12-03,Congressional Hearing Preparation — Duexis Sales,Mallinckrodt Inc.,7717,,,,,,,No,,,,0,,,,No,,,,,,,,,,Attachment
